Altitude (m a.s.l),Temperature (K),Pressure (Pa),Zonal wind speed (m/s),Meridional wind speed (m/s),Relative humidity (%)
238.550674656496,278.515021378767,100000,1.23972933989698,-1.23743452549786,47.6739811482662
444.549741254806,277.167943230704,97500,2.42846895463667,-3.37001589862023,45.2547437255402
654.997659342263,275.303957656347,95000,2.53420329223111,-4.80843114734925,47.9152807469016
869.410903834611,273.290955647345,92500,1.90780283860509,-5.72011053245327,52.0271096973739
1088.08523403216,271.511042078222,90000,0.988244323976878,-7.10427013262092,49.6864246124681
1311.91353864537,271.364178202365,87500,0.888753104778401,-9.98699746956597,16.1753965622915
1542.49674553338,271.91527291056,85000,2.45562184890861,-12.207073818742,2.51982275821858
1780.06765082913,271.765078307981,82500,4.20093169798031,-13.4317551041221,2.14633556777607
2024.58938571573,270.938028420228,80000,6.19083625326924,-13.6154757814597,2.6106417596582
2275.80086671146,269.580217330436,77500,8.07370230319492,-12.6118646367405,3.56632465766561
2533.86578327524,267.962883059627,75000,9.59811775225582,-10.9337189039948,5.6942606336788
3071.33414987516,264.037781734752,70000,11.2183964619971,-7.4059788391551,15.8132683941197
3639.29274026902,259.586368940054,65000,12.5838548707646,-3.304914523509,36.6042627394331
4243.2413538639,256.090172164443,60000,18.582647663294,-2.13663406874158,84.4540314494084
4894.9352135815,255.984955753104,55000,28.4709384654226,-4.4294517362772,69.926598557612
5609.57216908843,254.574091591425,50000,31.7210361282805,-13.583535502342,8.99328994892577
6384.82369525243,248.091220879573,45000,36.6111397262372,-21.8203556433083,10.1550223292558
7228.34337661839,241.592684690107,40000,42.9742955046491,-18.0891090179433,12.9913388770557
8161.57405795987,236.208630766718,35000,56.8652829581603,-10.3425385176236,38.9874615312104
9218.80824547319,232.740753912386,30000,74.587438057715,-12.383912920198,17.8621941538067
10461.8177403997,233.085606514517,25000,86.3239351852606,-12.5955236601991,4.6166486340052
11177.5649869901,230.498878968658,22500,87.0242997708052,-5.21977415812722,2.87107174977235
11963.8117065311,225.644149103652,20000,82.2219698395907,-9.40169062141015,3.1907076057126
12834.5004436302,219.913538714112,17500,76.7243205493417,-13.8989382867466,4.17852252516951
13813.9296577385,214.283468453246,15000,69.359249695458,-8.75729572856635,5.61360509541329
14940.1586917551,207.962654791913,12500,61.0524847736694,-6.94756370277202,9.40185830369083
16281.6605207297,203.306195890662,10000,46.4261815656898,-6.16591975165573,15.0923231742008
18375.125047309,197.297941139639,7000,39.0904510008735,0.62259503945065,27.2789284613374
20374.9361184607,208.281680060852,5000,18.9165721963311,5.54323667540207,4.16571955837597
23546.2094598518,217.695672376153,3000,18.4193334575241,4.53135473962828,0.730350934446999
26170.5545696922,222.579603431262,2000,19.8923854625739,3.42709880403482,0.266755989467092
30885.2873552064,241.127085956022,1000,-4.03418215752113,-3.94618374771075,0.0170259353902999
33417.9794170614,243.832485087752,700,-15.3037312251813,-6.0952073521563,0.0091650196338492
35849.072501835,249.265687324263,500,-28.5323519615088,-3.97589571756333,0.00415006365205581
39626.7072102069,256.334512440894,300,-47.9881109495817,6.21133414002108,0.00102283452810781
42713.0972241779,262.342411225149,200,-60.1437756547805,7.09326161140619,0.00102283452810781
47979.7808962542,253.550284524759,100,-55.9382433205292,5.76974626969048,0.00102283452810781
